cliente_id;cedula;nombre;apellido;numero_de_cuenta
1;1093847528;ANTONIO;GARCÍA;7,89633E+11
2;908382764;MANUEL;GONZÁLEZ;4,56987E+11
3;425860297;JOSE;RODRÍGUEZ;2,34568E+11
4;876549013;FRANCISCO;FERNÁNDEZ;8,47104E+11
5;253786940;DAVID;LÓPEZ;6,3246E+11
6;719462038;JUAN;MARTÍNEZ;2,15479E+11
7;657302981;JAVIER;SÁNCHEZ;8,97641E+11
8;281943065;JOSE ANTONIO;PÉREZ;3,65215E+11
9;902568374;DANIEL;GÓMEZ;9,12346E+11
10;432167895;FRANCISCO JAVIER;MARTIN;8,76543E+11
11;605487239;JOSE LUIS;JIMÉNEZ;3,45679E+11
12;873469521;CARLOS;RUIZ;7,89012E+11
13;164279085;JESUS;HERNÁNDEZ;1,20988E+11
14;935107246;ALEJANDRO;DIAZ;4,56789E+11
15;750124869;MIGUEL;MORENO;9,01235E+11
16;502936178;JOSE MANUEL;MUÑOZ;3,4121E+11
17;319684057;RAFAEL;ÁLVAREZ;7,89456E+11
18;871529306;MIGUEL ANGEL;ROMERO;5,68791E+11
19;638290145;PABLO;ALONSO;7,86123E+11
20;427510896;PEDRO;GUTIÉRREZ;2,10346E+11
21;167893524;ANGEL;NAVARRO;9,07634E+11
22;930684715;SERGIO;TORRES;1,20536E+11
23;265197483;JOSE MARIA;DOMÍNGUEZ;5,60129E+11
24;398652107;FERNANDO;VÁZQUEZ;1,03457E+11
25;570298634;JORGE;RAMOS;7,8943E+11
26;846219053;LUIS;GIL;3,45879E+11
27;372648519;ALBERTO;RAMÍREZ;8,74568E+11
28;941763028;ALVARO;SERRANO;5,67891E+11
29;506389742;JUAN CARLOS;BLANCO;9,03569E+11
30;765193284;ADRIAN;MOLINA;3,41206E+11
31;429167538;DIEGO;MORALES;7,86354E+11
32;817350296;JUAN JOSE;SUAREZ;1,20984E+11
33;279436185;RAUL;ORTEGA;5,63402E+11
34;603748219;IVAN;DELGADO;8,96342E+11
35;958421073;JUAN ANTONIO;CASTRO;4,50128E+11
36;295703816;RUBEN;ORTIZ;1,23457E+11
37;748109352;ENRIQUE;RUBIO;7,89012E+11
38;836491725;OSCAR;MARÍN;9,6354E+11
39;124867530;RAMON;SANZ;1,20988E+11
40;568937240;ANDRES;NÚÑEZ;3,45871E+11
41;287356401;JUAN MANUEL;IGLESIAS;7,89635E+11
42;750932468;VICENTE;MEDINA;9,87604E+11
43;510893624;SANTIAGO;GARRIDO;4,57892E+11
44;839205167;JOAQUIN;CORTES;9,01279E+11
45;246801357;MARIO;CASTILLO;3,4561E+11
46;640915283;VICTOR;SANTOS;6,78912E+11
47;310725964;EDUARDO;LOZANO;1,29877E+11
48;903457126;ROBERTO;GUERRERO;4,5789E+11
49;508693274;JAIME;CANO;7,89012E+11
50;961372048;FRANCISCO JOSE;PRIETO;5,67812E+11
51;426581937;MARCOS;MÉNDEZ;9,01235E+11
52;780162349;HUGO;CRUZ;6,78912E+11
53;279846513;IGNACIO;CALVO;7,89012E+11
54;604835219;JORDI;GALLEGO;1,23457E+11
55;957310684;ALFONSO;VIDAL;5,67801E+11
56;362958741;RICARDO;LEÓN;9,08765E+11
57;894201536;SALVADOR;MÁRQUEZ;3,45679E+11
58;142587093;GUILLERMO;HERRERA;6,78912E+11
59;684019753;MARC;PEÑA;9,01235E+11
60;518973246;GABRIEL;FLORES;3,45679E+11
61;720534861;MOHAMED;CABRERA;7,89012E+11
62;395016284;EMILIO;CAMPOS;5,67812E+11
63;846173902;GONZALO;VEGA;9,01235E+11
64;172930485;MARTIN;FUENTES;3,45679E+11
65;683791254;JOSE MIGUEL;CARRASCO;7,89012E+11
66;526348179;JULIO;DIEZ;5,67812E+11
67;370925816;JULIAN;CABALLERO;9,01235E+11
68;985124637;TOMAS;REYES;3,45679E+11
69;260148973;NICOLAS;NIETO;7,89012E+11
70;835619472;AGUSTIN;AGUILAR;5,67812E+11
71;169840325;JOSE RAMON;PASCUAL;9,01235E+11
72;742510863;SAMUEL;SANTANA;3,45679E+11
73;395846271;ISMAEL;HERRERO;7,89012E+11
74;810396425;CRISTIAN;LORENZO;5,67812E+11
75;549763208;LUCAS;MONTERO;9,01235E+11
76;312705684;JOAN;HIDALGO;3,45679E+11
77;764820139;FELIX;GIMÉNEZ;7,89012E+11
78;259034816;AITOR;IBÁÑEZ;5,67812E+11
79;608974213;HECTOR;FERRER;9,01235E+11
80;930145687;IKER;DURAN;3,45679E+11
81;514763209;ALEX;SANTIAGO;7,89012E+11
82;867395124;JUAN FRANCISCO;BENÍTEZ;5,67812E+11
83;236790581;JOSE CARLOS;MORA;9,01235E+11
84;978124506;JOSEP;VICENTE;3,45679E+11
85;345728619;SEBASTIAN;VARGAS;7,89012E+11
86;629415873;CESAR;ARIAS;5,67812E+11
87;471025836;MARIANO;CARMONA;9,01235E+11
88;813769245;ALFREDO;CRESPO;3,45679E+11
89;568290137;DOMINGO;ROMÁN;7,89012E+11
90;305874619;MATEO;PASTOR;5,67812E+11
91;749036218;JOSE ANGEL;SOTO;9,01235E+11
92;214697583;RODRIGO;SÁEZ;3,45679E+11
93;986107324;VICTOR MANUEL;VELASCO;7,89012E+11
94;543216978;FELIPE;MOYA;6,78901E+11
95;901865732;JOSE IGNACIO;SOLER;9,01235E+11
96;438215967;LUIS MIGUEL;PARRA;4,56789E+11
97;725631489;JOSE FRANCISCO;ESTEBAN;8,90123E+11
98;162098357;XAVIER;BRAVO;2,34568E+11
99;856301274;JUAN LUIS;GALLARDO;6,78901E+11
100;243187560;ALBERT;ROJAS;1,23457E+11
